PERFORMER,RUN_COUNT
Aretha Franklin,499
Bee Gees,428
Billy Joel,464
Blake Shelton,434
Brad Paisley,543
Carrie Underwood,430
Chicago,546
Daryl Hall John Oates,442
Dionne Warwick,428
Elton John,812
Elvis Presley,444
George Strait,546
Jason Aldean,444
Keith Urban,621
Kenny Chesney,648
Kool & The Gang,422
Madonna,682
Mariah Carey,445
Michael Jackson,476
Neil Diamond,507
P!nk,423
Rascal Flatts,530
Rihanna,418
Rod Stewart,597
Stevie Wonder,614
Taylor Swift,437
The Beach Boys,445
The Rolling Stones,513
The Temptations,474
Tim McGraw,691
Toby Keith,501
Whitney Houston,434
