PERFORMER,RUN_COUNT
The Beatles,8
Marvin Gaye,6
Britney Spears,6
Madonna,5
Madonna,5
Janet Jackson,5
Flo Rida,5
Bruno Mars,5
Bruno Mars,5
The Beach Boys,5
Roberta Flack,5
The Supremes,5
The Supremes,5
The Rolling Stones,5
George Harrison,5
Diana Ross,5
John Denver,5
Justin Timberlake,5
Ricky Nelson,5
Stevie Wonder,4
Color Me Badd,4
Eminem,4
Prince,4
Elton John,4
The Beatles,4
Bobby Vinton,4
Cher,4
Billy Preston,4
Boyz II Men,4
Usher,4
Olivia Newton-John,4
Justin Bieber,4
The Beatles,4
Katy Perry,4
America,4
Captain & Tennille,4
The Supremes,4
Katy Perry,4
The Beatles,4
Michael Bolton,4
Neil Sedaka,4
Bee Gees,4
The Emotions,4
Next,4
Billy Joel,4
Bee Gees,4
B.J. Thomas,4
Michael Jackson,4
Michael Jackson,4
Michael Jackson,4
Frankie Avalon,4
Whitney Houston,4
Whitney Houston,4
Whitney Houston,4
Diana Ross & The Supremes,4
Taylor Swift,4
Adele,4
Huey Lewis & The News,4
Mariah Carey,4
Donna Summer,4
Starship,4
Rihanna,4
Rihanna,4
Miley Cyrus,4
Phil Collins,4
Fergie,4
Beyonce,4
Bon Jovi,4
Rae Sremmurd Featuring Gucci Mane,4
The Bangles,4
Brenda Lee,4
George Michael,4
Paul McCartney And Wings,4
Wilson Phillips,4
Gloria Gaynor,4
Connie Francis,4
The Temptations,4
Sean Paul,4
Kelly Clarkson,4
Rupert Holmes,4
Rick Astley,4
Paula Abdul,4
Paula Abdul,4
Roxette,4
Ke$ha,4
Madonna,4
Andy Gibb,4
Savage Garden,4
Blondie,4
The Fleetwoods,4
Maroon 5,4
The Human League,4
Herman's Hermits,4
Far*East Movement Featuring Cataracs & Dev,4
The Rolling Stones,4
Three Dog Night,4
T.I. Featuring Rihanna,4
Carpenters,4
Billy Ocean,4
Men At Work,4
Commodores,4
Chic,4
Daryl Hall John Oates,4
