SONG,RUN_COUNT
Imagine Dragons - Radioactive,87
AWOLNATION - Sail,79
Jason Mraz - I'm Yours,76
LeAnn Rimes - How Do I Live,69
LMFAO Featuring Lauren Bennett & GoonRock - Party Rock Anthem,68
OneRepublic - Counting Stars,68
Adele - Rolling In The Deep,65
Jewel - Foolish Games/You Were Meant For Me,65
Carrie Underwood - Before He Cheats,64
Lifehouse - You And Me,62
The Lumineers - Ho Hey,62
Imagine Dragons - Demons,61
Lady Antebellum - Need You Now,60
Los Del Rio - Macarena (Bayside Boys Mix),60
Gotye Featuring Kimbra - Somebody That I Used To Know,59
John Legend - All Of Me,59
Ed Sheeran - Thinking Out Loud,58
Santana Featuring Rob Thomas - Smooth,58
The Fray - How To Save A Life,58
Creed - Higher,57
Ellie Goulding - Lights,57
Katy Perry Featuring Juicy J - Dark Horse,57
Kings Of Leon - Use Somebody,57
Faith Hill - The Way You Love Me,56
fun. - Some Nights,56
Mark Ronson Featuring Bruno Mars - Uptown Funk!,56
Paula Cole - I Don't Want To Wait,56
The Black Eyed Peas - I Gotta Feeling,56
Duncan Sheik - Barely Breathing,55
Everything But The Girl - Missing,55
Lonestar - Amazed,55
