PERFORMER,RUN_COUNT
Mariah Carey,155
The Beatles,149
Madonna,136
Whitney Houston,103
Bruno Mars,96
Usher,93
Janet Jackson,92
Michael Jackson,91
Boyz II Men,85
Katy Perry,84
Taylor Swift,79
Rihanna,77
TLC,76
Stevie Wonder,75
Bee Gees,73
Elton John,72
The Rolling Stones,72
The Black Eyed Peas,71
Elvis Presley With The Jordanaires,67
Destiny's Child,65
The Supremes,58
Justin Bieber,58
Donna Summer,55
Celine Dion,54
Adele,54
Olivia Newton-John,54
Daryl Hall John Oates,53
Carpenters,50
Maroon 5,50
Alicia Keys,49
Lionel Richie,47
Rod Stewart,46
Lady Gaga,46
Duran Duran,46
Toni Braxton,45
Beyonce,45
Chicago,44
Jackson 5,44
Ed Sheeran,43
Fergie,43
Phil Collins,42
Marvin Gaye,41
Monica,40
P nk,40
Justin Timberlake,39
Billy Joel,39
Ace Of Base,39
The 4 Seasons,39
The Weeknd,37
Foreigner,37
Chubby Checker,37
Three Dog Night,37
Flo Rida,37
Diana Ross,36
Miley Cyrus,36
Cher,36
R. Kelly,36
Janet,35
The Beach Boys,35
Andy Gibb,35
Barbra Streisand,35
Bon Jovi,35
Mary J. Blige,35
The Monkees,34
Eagles,34
Chris Brown,34
Bobby Vinton,33
Nickelback,33
Commodores,33
Ke$ha,33
Wings,32
George Michael,32
Queen,32
Brenda Lee,32
Aretha Franklin,32
50 Cent,31
KC And The Sunshine Band,31
Captain & Tennille,31
The Temptations,31
Paula Abdul,30
Eminem,30
Bryan Adams,30
Connie Francis,29
Simon & Garfunkel,29
Neil Diamond,29
Creedence Clearwater Revival,29
Christina Aguilera,29
Air Supply,29
twenty one pilots,28
The Everly Brothers,28
The Chainsmokers Featuring Halsey,27
Jennifer Lopez Featuring Ja Rule,27
Bobby Darin,27
Eminem Featuring Rihanna,27
Billy Ocean,26
Roxette,26
The 5th Dimension,26
Savage Garden,26
Prince,26
Meghan Trainor,26
